API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Dec 16 00:27:08 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2040-Jan-01 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2462627.500000000, A.D. 2030-May-06 00:00:00.0000, -1.064785319000939E+08, -1.067933187497545E+08,  1.499113401087373E+04,  2.062483683168373E+01, -2.113202074911366E+01,  2.518924039558890E-03,
2462632.500000000, A.D. 2030-May-11 00:00:00.0000, -9.719673696822698E+07, -1.155240976983851E+08,  1.593784370674193E+04,  2.231746423540009E+01, -1.926577655072105E+01,  1.679351993405298E-03,
2462637.500000000, A.D. 2030-May-16 00:00:00.0000, -8.722156082896496E+07, -1.234216014440348E+08,  1.634695064719021E+04,  2.383502529467589E+01, -1.727895230127823E+01,  2.405217098182533E-04,
2462642.500000000, A.D. 2030-May-21 00:00:00.0000, -7.662706589864428E+07, -1.304385536198592E+08,  1.632614038708061E+04,  2.518689155948815E+01, -1.518963016793313E+01, -2.306183113010007E-05,
2462647.500000000, A.D. 2030-May-26 00:00:00.0000, -6.548414174104968E+07, -1.365297602029880E+08,  1.651809322030097E+04,  2.637088402376695E+01, -1.299233702293167E+01,  9.825134768375321E-04,
2462652.500000000, A.D. 2030-May-31 00:00:00.0000, -5.387005650722134E+07, -1.416494631638234E+08,  1.713020273446292E+04,  2.736469155253111E+01, -1.069497068317652E+01,  1.711464204782409E-03,
2462657.500000000, A.D. 2030-Jun-05 00:00:00.0000, -4.187083628870757E+07, -1.457590468254708E+08,  1.783643035145849E+04,  2.815194824533755E+01, -8.320238005849815E+00,  1.355085729035199E-03,
2462662.500000000, A.D. 2030-Jun-10 00:00:00.0000, -2.957750277660380E+07, -1.488310882875112E+08,  1.815338273552805E+04,  2.872627505579385E+01, -5.896507847207373E+00,  1.286052597393450E-05,
2462667.500000000, A.D. 2030-Jun-15 00:00:00.0000, -1.708090020231714E+07, -1.508506092678230E+08,  1.788408253215998E+04,  2.909587653866436E+01, -3.451007966731088E+00, -1.044501597538217E-03,
2462672.500000000, A.D. 2030-Jun-20 00:00:00.0000, -4.465672883728039E+06, -1.518105685153010E+08,  1.750696949459612E+04,  2.927651151789350E+01, -9.898402215572870E-01, -4.653367663724484E-04,
2462677.500000000, A.D. 2030-Jun-25 00:00:00.0000,  8.185449322097438E+06, -1.517031703452382E+08,  1.754184075012803E+04,  2.925893340067772E+01,  1.488828796351905E+00,  5.564075490885889E-04,
2462682.500000000, A.D. 2030-Jun-30 00:00:00.0000,  2.078339612061631E+07, -1.505243845854841E+08,  1.786191169215739E+04,  2.902883365255008E+01,  3.966197411648780E+00,  7.339303689610777E-04,
2462687.500000000, A.D. 2030-Jul-05 00:00:00.0000,  3.323508374351859E+07, -1.482804140734749E+08,  1.800592152017355E+04,  2.858192633551503E+01,  6.415395279961487E+00, -2.339720108235355E-04,
2462692.500000000, A.D. 2030-Jul-10 00:00:00.0000,  4.544802462960429E+07, -1.449897524666117E+08,  1.759576165971905E+04,  2.792617305963240E+01,  8.807497561746656E+00, -1.607010095539430E-03,
2462697.500000000, A.D. 2030-Jul-15 00:00:00.0000,  5.733639768256557E+07, -1.406816164357946E+08,  1.679586366738379E+04,  2.708332672848580E+01,  1.112513729310189E+01, -1.796240564283735E-03,
2462702.500000000, A.D. 2030-Jul-20 00:00:00.0000,  6.882287262415522E+07, -1.353876598453383E+08,  1.623476193238795E+04,  2.606478759296198E+01,  1.337241477636257E+01, -7.395688319880023E-04,
