API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Dec 22 21:56:01 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2035-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2462527.500000000, A.D. 2030-Jan-26 00:00:00.0000, -8.576008854006933E+07,  1.197559522308351E+08, -1.397075241483748E+03, -2.470324430853872E+01, -1.745342922476571E+01,  8.210448132288661E-04,
2462528.500000000, A.D. 2030-Jan-27 00:00:00.0000, -8.788114891620705E+07,  1.182294326553228E+08, -1.334612687930465E+03, -2.439406128751623E+01, -1.788184066005708E+01,  6.316529966872153E-04,
2462529.500000000, A.D. 2030-Jan-28 00:00:00.0000, -8.997515444098756E+07,  1.166661173013158E+08, -1.286553295776248E+03, -2.407696645511123E+01, -1.830514177218577E+01,  4.898102084149869E-04,
2462530.500000000, A.D. 2030-Jan-29 00:00:00.0000, -9.204141992159337E+07,  1.150664590586627E+08, -1.248274287827313E+03, -2.375192870851049E+01, -1.872306322440047E+01,  4.068293144907642E-04,
2462531.500000000, A.D. 2030-Jan-30 00:00:00.0000, -9.407925927416827E+07,  1.134309356090372E+08, -1.214345729783177E+03, -2.341896058773204E+01, -1.913530229738517E+01,  3.899123502923985E-04,
2462532.500000000, A.D. 2030-Jan-31 00:00:00.0000, -9.608798978793609E+07,  1.117600517623523E+08, -1.178925055801868E+03, -2.307812912167332E+01, -1.954153641771628E+01,  4.413006397347985E-04,
2462533.500000000, A.D. 2030-Feb-01 00:00:00.0000, -9.806693713411428E+07,  1.100543404171644E+08, -1.136205436691642E+03, -2.272956171904092E+01, -1.994144126270109E+01,  5.579214594586546E-04,
2462534.500000000, A.D. 2030-Feb-02 00:00:00.0000, -1.000154405684147E+08,  1.083143618396374E+08, -1.080864917270839E+03, -2.237344440710119E+01, -2.033471098149531E+01,  7.317491763805251E-04,
2462535.500000000, A.D. 2030-Feb-03 00:00:00.0000, -1.019328576093186E+08,  1.065407012551449E+08, -1.008451286949217E+03, -2.201001154790987E+01, -2.072107624167212E+01,  9.509156005025332E-04,
2462536.500000000, A.D. 2030-Feb-04 00:00:00.0000, -1.038185675241301E+08,  1.047339651366432E+08, -9.156461156904697E+02, -2.163952911378962E+01, -2.110031574182942E+01,  1.201337349635345E-03,
2462537.500000000, A.D. 2030-Feb-05 00:00:00.0000, -1.056719732465849E+08,  1.028947768727654E+08, -8.003807627335191E+02, -2.126227593738959E+01, -2.147225893915030E+01,  1.468438680833017E-03,
2462538.500000000, A.D. 2030-Feb-06 00:00:00.0000, -1.074925017603202E+08,  1.010237725593413E+08, -6.618148644343019E+02, -2.087852763512691E+01, -2.183678084790046E+01,  1.738553877020266E-03,
2462539.500000000, A.D. 2030-Feb-07 00:00:00.0000, -1.092796033250368E+08,  9.912159747312574E+07, -5.002169007658958E+02, -2.048854618668479E+01, -2.219379208004074E+01,  1.999771442255494E-03,
2462540.500000000, A.D. 2030-Feb-08 00:00:00.0000, -1.110327500744094E+08,  9.718890347543679E+07, -3.167970840930939E+02, -2.009257571843105E+01, -2.254322785722180E+01,  2.242207830077447E-03,
2462541.500000000, A.D. 2030-Feb-09 00:00:00.0000, -1.127514344750649E+08,  9.522634730234130E+07, -1.135363221541047E+02, -1.969084319130756E+01, -2.288503883476686E+01,  2.457856409014525E-03,
2462542.500000000, A.D. 2030-Feb-10 00:00:00.0000, -1.144351679831620E+08,  9.323458951278108E+07,  1.069606415331364E+02, -1.928356193177500E+01, -2.321918517559994E+01,  2.640212185237800E-03,
2462543.500000000, A.D. 2030-Feb-11 00:00:00.0000, -1.160834800560195E+08,  9.121429379567818E+07,  3.415766777135432E+02, -1.887093602009248E+01, -2.354563413809445E+01,  2.783854150617771E-03,
2462544.500000000, A.D. 2030-Feb-12 00:00:00.0000, -1.176959175219290E+08,  8.916612634781951E+07,  5.867608897872269E+02, -1.845316396971953E+01, -2.386436074068129E+01,  2.884121939390027E-03,
2462545.500000000, A.D. 2030-Feb-13 00:00:00.0000, -1.192720441942730E+08,  8.709075508889546E+07,  8.385869420580566E+02, -1.803044053626358E+01, -2.417535071561654E+01,  2.936982803927179E-03,
2462546.500000000, A.D. 2030-Feb-14 00:00:00.0000, -1.208114405286175E+08,  8.498884855862612E+07,  1.092810624174774E+03, -1.760295577614889E+01, -2.447860471864791E+01,  2.939156086418038E-03,
2462547.500000000, A.D. 2030-Feb-15 00:00:00.0000, -1.223137030562270E+08,  8.286107444358762E+07,  1.344950829226524E+03, -1.717089073923431E+01, -2.477414242799524E+01,  2.888534118516972E-03,
2462548.500000000, A.D. 2030-Feb-16 00:00:00.0000, -1.237784432925160E+08,  8.070809781840482E+07,  1.590419605731964E+03, -1.673440966123153E+01, -2.506200471652676E+01,  2.784889685313985E-03,
2462549.500000000, A.D. 2030-Feb-17 00:00:00.0000, -1.252052858440638E+08,  7.853057936005941E+07,  1.824722611445934E+03, -1.629364946031078E+01, -2.534225173431100E+01,  2.630772385979085E-03,
2462550.500000000, A.D. 2030-Feb-18 00:00:00.0000, -1.265938655659091E+08,  7.632917397704783E+07,  2.043737700570375E+03, -1.584870875683207E+01, -2.561495497400753E+01,  2.432373437130764E-03,
2462551.500000000, A.D. 2030-Feb-19 00:00:00.0000, -1.279438238768563E+08,  7.410453041288626E+07,  2.244055213470012E+03, -1.539964005259184E+01, -2.588018273343905E+01,  2.200028971486745E-03,
2462552.500000000, A.D. 2030-Feb-20 00:00:00.0000, -1.292548046840790E+08,  7.185729233283481E+07,  2.423333656806499E+03, -1.494644912231851E+01, -2.613798087751382E+01,  1.948025213867055E-03,
2462553.500000000, A.D. 2030-Feb-21 00:00:00.0000, -1.305264506675142E+08,  6.958810111868337E+07,  2.580601356510073E+03, -1.448910412712611E+01, -2.638835346555932E+01,  1.693538300790109E-03,
2462554.500000000, A.D. 2030-Feb-22 00:00:00.0000, -1.317584007549623E+08,  6.729760013678455E+07,  2.716433121889830E+03, -1.402755359970588E+01, -2.663124891883753E+01,  1.454853344370122E-03,
2462555.500000000, A.D. 2030-Feb-23 00:00:00.0000, -1.329502893877101E+08,  6.498643980371162E+07,  2.832956856012344E+03, -1.356174898000363E+01, -2.686655579991932E+01,  1.249296279754120E-03,
2462556.500000000, A.D. 2030-Feb-24 00:00:00.0000, -1.341017477215119E+08,  6.265528257011141E+07,  2.933687973324209E+03, -1.309166596082539E+01, -2.709410868273513E+01,  1.091394861573391E-03,
2462557.500000000, A.D. 2030-Feb-25 00:00:00.0000, -1.352124064534563E+08,  6.030480705706561E+07,  3.023228536840528E+03, -1.261732027762069E+01, -2.731370123796750E+01,  9.916228543644934E-04,
2462558.500000000, A.D. 2030-Feb-26 00:00:00.0000, -1.362818997095764E+08,  5.793571090053569E+07,  3.106886953949928E+03, -1.213877646898591E+01, -2.752510238441384E+01,  9.558094072854573E-04,
2462559.500000000, A.D. 2030-Feb-27 00:00:00.0000, -1.373098694143052E+08,  5.554871219162858E+07,  3.190271384965628E+03, -1.165615054871415E+01, -2.772807224123581E+01,  9.850917349698562E-04,
2462560.500000000, A.D. 2030-Feb-28 00:00:00.0000, -1.382959696926925E+08,  5.314454960753409E+07,  3.278896061737090E+03, -1.116960837890382E+01, -2.792237636683948E+01,  1.076234409749688E-03,
2462561.500000000, A.D. 2030-Mar-01 00:00:00.0000, -1.392398709972783E+08,  5.072398139721031E+07,  3.377826360698789E+03, -1.067936107110721E+01, -2.810779804226947E+01,  1.222193959193874E-03,
2462562.500000000, A.D. 2030-Mar-02 00:00:00.0000, -1.401412637295664E+08,  4.828778338849445E+07,  3.491381409011781E+03, -1.018565791753390E+01, -2.828414861757940E+01,  1.412882616710576E-03,
2462563.500000000, A.D. 2030-Mar-03 00:00:00.0000, -1.409998611486660E+08,  4.583674619827640E+07,  3.622910615313798E+03, -9.688776991766680E+00, -2.845127549292835E+01,  1.636110906227728E-03,
2462564.500000000, A.D. 2030-Mar-04 00:00:00.0000, -1.418154013823816E+08,  4.337167188657659E+07,  3.774657525591552E+03, -9.189013912582622E+00, -2.860906684886275E+01,  1.878651540931031E-03,
2462565.500000000, A.D. 2030-Mar-05 00:00:00.0000, -1.425876484300090E+08,  4.089337037260172E+07,  3.947716675965115E+03, -8.686670004745736E+00, -2.875745234150872E+01,  2.127303464071417E-03,
2462566.500000000, A.D. 2030-Mar-06 00:00:00.0000, -1.433163921788518E+08,  3.840265596988325E+07,  4.142076736755669E+03, -8.182041612260955E+00, -2.889639973064222E+01,  2.369799288965524E-03,
2462567.500000000, A.D. 2030-Mar-07 00:00:00.0000, -1.440014476078852E+08,  3.590034435650117E+07,  4.356730331754312E+03, -7.675412192191765E+00, -2.902590841943550E+01,  2.595424680452041E-03,
2462568.500000000, A.D. 2030-Mar-08 00:00:00.0000, -1.446426534634923E+08,  3.338725017701284E+07,  4.589822623716667E+03, -7.167048063343055E+00, -2.914600160416316E+01,  2.795294953946481E-03,
2462569.500000000, A.D. 2030-Mar-09 00:00:00.0000, -1.452398707249981E+08,  3.086418531646502E+07,  4.838809952113777E+03, -6.657197695893886E+00, -2.925671884637168E+01,  2.962323447308179E-03,
2462570.500000000, A.D. 2030-Mar-10 00:00:00.0000, -1.457929811312076E+08,  2.833195774556726E+07,  5.100605844378471E+03, -6.146093638311978E+00, -2.935811045862243E+01,  3.090980649838926E-03,
2462571.500000000, A.D. 2030-Mar-11 00:00:00.0000, -1.463018859414215E+08,  2.579137074374875E+07,  5.371701643591747E+03, -5.633955791886738E+00, -2.945023443868249E+01,  3.176968477870190E-03,
2462572.500000000, A.D. 2030-Mar-12 00:00:00.0000, -1.467665049893844E+08,  2.324322227071409E+07,  5.648259688161314E+03, -5.120994703822539E+00, -2.953315607573425E+01,  3.216929214993058E-03,
2462573.500000000, A.D. 2030-Mar-13 00:00:00.0000, -1.471867759786556E+08,  2.068830426723928E+07,  5.926186578361318E+03, -4.607413674269391E+00, -2.960694989552524E+01,  3.208291029414667E-03,
2462574.500000000, A.D. 2030-Mar-14 00:00:00.0000, -1.475626538699922E+08,  1.812740171062040E+07,  6.201202073952183E+03, -4.093408611966329E+00, -2.967170324750247E+01,  3.149333854006287E-03,
2462575.500000000, A.D. 2030-Mar-15 00:00:00.0000, -1.478941101249850E+08,  1.556129132761867E+07,  6.468925611016341E+03, -3.579164713014637E+00, -2.972752041600900E+01,  3.039539903427979E-03,
2462576.500000000, A.D. 2030-Mar-16 00:00:00.0000, -1.481811315011170E+08,  1.299073998876628E+07,  6.725006605039351E+03, -3.064849339101073E+00, -2.977452553943649E+01,  2.880256394579561E-03,
2462577.500000000, A.D. 2030-Mar-17 00:00:00.0000, -1.484237180684491E+08,  1.041650298703858E+07,  6.965324031767901E+03, -2.550601251171799E+00, -2.981286190999407E+01,  2.675617697184052E-03,
2462578.500000000, A.D. 2030-Mar-18 00:00:00.0000, -1.486218801931364E+08,  7.839322635455577E+06,  7.186270458950661E+03, -2.036517922597144E+00, -2.984268483547119E+01,  2.433530088344682E-03,
2462579.500000000, A.D. 2030-Mar-19 00:00:00.0000, -1.487756344765840E+08,  5.259927839778318E+06,  7.385110751979519E+03, -1.522644908576661E+00, -2.986414603308891E+01,  2.166337615475911E-03,
2462580.500000000, A.D. 2030-Mar-20 00:00:00.0000, -1.488849990727674E+08,  2.679035372137965E+06,  7.560366538167116E+03, -1.008973120137062E+00, -2.987737034157483E+01,  1.890669339744022E-03,
2462581.500000000, A.D. 2030-Mar-21 00:00:00.0000, -1.489499893136224E+08,  9.735331448855587E+04,  7.712137228158572E+03, -4.954493214450634E-01, -2.988243005757765E+01,  1.626088173809492E-03,
2462582.500000000, A.D. 2030-Mar-22 00:00:00.0000, -1.489706148691047E+08, -2.484413497599305E+06,  7.842252775474684E+03,  1.799924643120339E-02, -2.987932592421792E+01,  1.392608958248331E-03,
2462583.500000000, A.D. 2030-Mar-23 00:00:00.0000, -1.489468794541062E+08, -5.065556993613069E+06,  7.954185047197854E+03,  5.314320636825560E-01, -2.986798315565955E+01,  1.207743508716774E-03,
2462584.500000000, A.D. 2030-Mar-24 00:00:00.0000, -1.488787833438587E+08, -7.645359806520321E+06,  8.052718522852752E+03,  1.044864989456477E+00, -2.984826483391308E+01,  1.084043449528949E-03,
2462585.500000000, A.D. 2030-Mar-25 00:00:00.0000, -1.487663280503280E+08, -1.022309094639035E+07,  8.143458484637551E+03,  1.558251698338676E+00, -2.981999726300610E+01,  1.027870741886261E-03,
2462586.500000000, A.D. 2030-Mar-26 00:00:00.0000, -1.486095219577480E+08, -1.279800384197991E+07,  8.232292472218163E+03,  2.071479942154097E+00, -2.978299783664109E+01,  1.039510999904181E-03,
2462587.500000000, A.D. 2030-Mar-27 00:00:00.0000, -1.484083857447138E+08, -1.536933660184979E+07,  8.324905648564920E+03,  2.584379313803598E+00, -2.973709760697324E+01,  1.114212806662351E-03,
2462588.500000000, A.D. 2030-Mar-28 00:00:00.0000, -1.481629568557301E+08, -1.793631386681869E+07,  8.426404859738424E+03,  3.096734478964211E+00, -2.968215543256640E+01,  1.243574258456448E-03,
2462589.500000000, A.D. 2030-Mar-29 00:00:00.0000, -1.478732927834229E+08, -2.049814954544119E+07,  8.541061232957058E+03,  3.608298835853796E+00, -2.961806464578045E+01,  1.416850357312427E-03,
2462590.500000000, A.D. 2030-Mar-30 00:00:00.0000, -1.475394732514083E+08, -2.305404989709865E+07,  8.672155125359073E+03,  4.118806093843876E+00, -2.954475489786096E+01,  1.622003918310355E-03,
2462591.500000000, A.D. 2030-Mar-31 00:00:00.0000, -1.471616015052353E+08, -2.560321665667538E+07,  8.821900596218184E+03,  4.627979399615554E+00, -2.946219159912654E+01,  1.846505621314165E-03,
2462592.500000000, A.D. 2030-Apr-01 00:00:00.0000, -1.467398048986688E+08, -2.814485005982046E+07,  8.991430910643190E+03,  5.135538657771024E+00, -2.937037430993548E+01,  2.077960453217287E-03,
2462593.500000000, A.D. 2030-Apr-02 00:00:00.0000, -1.462742348989301E+08, -3.067815169981015E+07,  9.180833193017170E+03,  5.641206748725406E+00, -2.926933445535717E+01,  2.304626526713704E-03,
2462594.500000000, A.D. 2030-Apr-03 00:00:00.0000, -1.457650665906519E+08, -3.320232715384334E+07,  9.389224162004888E+03,  6.144714916959118E+00, -2.915913224024403E+01,  2.515846658790011E-03,
2462595.500000000, A.D. 2030-Apr-04 00:00:00.0000, -1.452124977557595E+08, -3.571658830330402E+07,  9.614858769997954E+03,  6.645807139886748E+00, -2.903985265287317E+01,  2.702373189613638E-03,
2462596.500000000, A.D. 2030-Apr-05 00:00:00.0000, -1.446167476343960E+08, -3.822015527543371E+07,  9.855261112537235E+03,  7.144243075380031E+00, -2.891160076467801E+01,  2.856553943042073E-03,
2462597.500000000, A.D. 2030-Apr-06 00:00:00.0000, -1.439780555039956E+08, -4.071225796781506E+07,  1.010736474017985E+04,  7.639799299836260E+00, -2.877449689015858E+01,  2.972363884024887E-03,
2462598.500000000, A.D. 2030-Apr-07 00:00:00.0000, -1.432966792247868E+08, -4.319213717553430E+07,  1.036764956252091E+04,  8.132268889957192E+00, -2.862867235729163E+01,  3.045300663073292E-03,
2462599.500000000, A.D. 2030-Apr-08 00:00:00.0000, -1.425728938781234E+08, -4.565904540495855E+07,  1.063226562613621E+04,  8.621459796769047E+00, -2.847426658207559E+01,  3.072196281506123E-03,
2462600.500000000, A.D. 2030-Apr-09 00:00:00.0000, -1.418069905709527E+08, -4.811224750825967E+07,  1.089713965648040E+04,  9.107192771203819E+00, -2.831142589132329E+01,  3.051020167351481E-03,
2462601.500000000, A.D. 2030-Apr-10 00:00:00.0000, -1.409992754054855E+08, -5.055102129655448E+07,  1.115806725873426E+04,  9.589299779339836E+00, -2.814030418920674E+01,  2.980758433595909E-03,
2462602.500000000, A.D. 2030-Apr-11 00:00:00.0000, -1.401500685283773E+08, -5.297465828105740E+07,  1.141080101204664E+04,  1.006762391638639E+01, -2.796106516851518E+01,  2.861452951844257E-03,
