API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Dec 15 22:23:18 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars Barycenter (4)             {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2001-Jan-27 00:00:00.0000 TDB
Stop  time      : A.D. 2005-Oct-10 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451936.500000000, A.D. 2001-Jan-27 00:00:00.0000, -2.376556750572091E+08, -5.854009347414402E+07,  4.637022863874260E+06,  6.663510459533742E+00, -2.147864940058864E+01, -6.135269487509012E-01,
2451941.500000000, A.D. 2001-Feb-01 00:00:00.0000, -2.345752985668148E+08, -6.776681987003662E+07,  4.368110657878298E+06,  7.596635694732996E+00, -2.123127352090764E+01, -6.312818020316522E-01,
2451946.500000000, A.D. 2001-Feb-06 00:00:00.0000, -2.310930204531999E+08, -7.687836490333545E+07,  4.091732232225113E+06,  8.523935639031611E+00, -2.094536456982541E+01, -6.480863245651740E-01,
2451951.500000000, A.D. 2001-Feb-11 00:00:00.0000, -2.272116590748841E+08, -8.585803535768208E+07,  3.808306530911103E+06,  9.444005618733271E+00, -2.062071011399460E+01, -6.639015440786640E-01,
2451956.500000000, A.D. 2001-Feb-16 00:00:00.0000, -2.229346492021290E+08, -9.468905277768485E+07,  3.518269432942860E+06,  1.035539624747680E+01, -2.025712859538958E+01, -6.786880359424670E-01,
2451961.500000000, A.D. 2001-Feb-21 00:00:00.0000, -2.182660617122482E+08, -1.033545676540367E+08,  3.222073939249426E+06,  1.125661169841521E+01, -1.985447331204492E+01, -6.924059644948830E-01,
2451966.500000000, A.D. 2001-Feb-26 00:00:00.0000, -2.132106239912789E+08, -1.118376754060436E+08,  2.920190339169882E+06,  1.214610816822582E+01, -1.941263675991876E+01, -7.050151363976687E-01,
2451971.500000000, A.D. 2001-Mar-03 00:00:00.0000, -2.077737409504874E+08, -1.201214343191021E+08,  2.613106351144679E+06,  1.302229257392191E+01, -1.893155534281296E+01, -7.164750668798332E-01,
2451976.500000000, A.D. 2001-Mar-08 00:00:00.0000, -2.019615165473655E+08, -1.281888855976479E+08,  2.301327231770866E+06,  1.388352152835160E+01, -1.841121445774315E+01, -7.267450602555270E-01,
2451981.500000000, A.D. 2001-Mar-13 00:00:00.0000, -1.957807756805678E+08, -1.360230756977382E+08,  1.985375846632749E+06,  1.472810064105761E+01, -1.785165396485774E+01, -7.357843067098937E-01,
